OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,SEARCH02_EN,SEARCH02_TC,SEARCH03_EN,SEARCH03_TC,SEARCH04_EN,SEARCH04_TC,SEARCH05_EN,SEARCH05_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
1,Government Secondary Schools,官立中學,SIR ELLIS KADOORIE SECONDARY SCHOOL (WEST KOWLOON),"22 HOI FAN ROAD , WEST KOWLOON, TAI KOK TSUI, KOWLOON.",官立嘉道理爵士中學(西九龍),九龍大角咀西九龍海帆道二十二號,CO-ED,男女,WHOLE DAY,全日,YAU TSIM MONG,油尖旺區,SECONDARY,中學,GOVERNMENT,官立,,無,25761871,25761871,28824548,28824548,http://www.seksswk.edu.hk,http://www.seksswk.edu.hk,536997000133,536997000133,820391.5,834063.9,22.32253653,114.15548095,2023-11-24T15:02:49,834063.9000000004,820391.5
2,Government Secondary Schools,官立中學,JOCKEY CLUB GOVERNMENT SECONDARY SCHOOL,2B OXFORD ROAD KOWLOON TONG KOWLOON,賽馬會官立中學,九龍塘牛津道2號B,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,SECONDARY,中學,GOVERNMENT,官立,,無,"23366761,23376868","23366761,23376868",23363479,23363479,http://www.jcgss.edu.hk,http://www.jcgss.edu.hk,510092000133,510092000133,821142,836711,22.32931533,114.18117441,2023-11-24T15:02:49,836711,821142
3,Government Secondary Schools,官立中學,SOUTH TUEN MUN GOVERNMENT SEC SCH,218 WU SHAN ROAD TUEN MUN NT,南屯門官立中學,屯門湖山路218號,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,SECONDARY,中學,GOVERNMENT,官立,,無,24045506,24045506,26183151,26183151,http://www.stmgss.edu.hk,http://www.stmgss.edu.hk,510661000133,510661000133,826021,814862,22.37324207,113.96902892,2023-11-24T15:02:49,814862,826021
4,Government Secondary Schools,官立中學,YUEN LONG PUBLIC SECONDARY SCHOOL,22 TOWN PARK ROAD SOUTH SHUI NGAU LENG YUEN LONG NT,元朗公立中學,元朗水牛嶺公園南路二十二號,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,SECONDARY,中學,GOVERNMENT,官立,,無,24762357,24762357,24747119,24747119,http://www.ylpss.edu.hk,http://www.ylpss.edu.hk,510483000133,510483000133,833441,819898,22.4403035,114.0178505,2023-11-24T15:02:49,819898,833441
5,Government Secondary Schools,官立中學,SHAU KEI WAN GOVERNMENT SECONDARY SCHOOL,42 CHAI WAN ROAD SHAUKEIWAN HONG KONG,筲箕灣官立中學,香港筲箕灣柴灣道四十二號,CO-ED,男女,WHOLE DAY,全日,EASTERN,東區,SECONDARY,中學,GOVERNMENT,官立,,無,"25603544,25604433","25603544,25604433",25689708,25689708,http://www.sgss.edu.hk,http://www.sgss.edu.hk,510440000133,510440000133,814750,842027,22.27158207,114.23275199,2023-11-24T15:02:48,842027,814750
6,Government Secondary Schools,官立中學,QUEEN'S COLLEGE,120 CAUSEWAY ROAD CAUSEWAY BAY HONG KONG,皇仁書院,銅鑼灣高士威道120號,BOYS,男,WHOLE DAY,全日,WAN CHAI,灣仔區,SECONDARY,中學,GOVERNMENT,官立,,無,25761992,25761992,28824546,28824546,http://www.qc.edu.hk,http://www.qc.edu.hk,510432000133,510432000133,815848,837758,22.28150669,114.19133234,2023-11-24T15:02:48,837758,815848
7,Government Secondary Schools,官立中學,HOMANTIN GOVERNMENT SECONDARY SCHOOL,8 PERTH STREET HOMANTIN KOWLOON,何文田官立中學,九龍何文田巴富街8號,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,SECONDARY,中學,GOVERNMENT,官立,,無,27112680,27112680,27142846,27142846,http://www.hmtgss.edu.hk,http://www.hmtgss.edu.hk,510394000133,510394000133,820228,836624,22.32106139,114.18032972,2023-11-24T15:02:48,836624,820228
8,Government Secondary Schools,官立中學,TSUEN WAN GOVERNMENT SECONDARY SCHOOL,70 HOI PA STREET TSUEN WAN NEW TERRITORIES,荃灣官立中學,荃灣海壩街70號,CO-ED,男女,WHOLE DAY,全日,TSUEN WAN,荃灣區,SECONDARY,中學,GOVERNMENT,官立,,無,"24903307,24902901","24903307,24902901",24906645,24906645,http://www.twgss.edu.hk,http://www.twgss.edu.hk,510467000133,510467000133,825947,829774,22.37269496,114.11381985,2023-11-24T15:02:48,829774,825947
9,Government Secondary Schools,官立中學,TSEUNG KWAN O GOVERNMENT SEC SCHOOL,2 KING YIN LANE TSEUNG KWAN O NT,將軍澳官立中學,將軍澳敬賢里二號,CO-ED,男女,WHOLE DAY,全日,SAI KUNG,西貢區,SECONDARY,中學,GOVERNMENT,官立,,無,27040051,27040051,27040777,27040777,http://www.tkogss.edu.hk,http://www.tkogss.edu.hk,510700000133,510700000133,820724,844769,22.32551958,114.25938838,2023-11-24T15:02:47,844769,820724
10,Government Secondary Schools,官立中學,QUEEN ELIZABETH SCHOOL,152 SAI YEE STREET MONGKOK KOWLOON,伊利沙伯中學,九龍洗衣街152號,CO-ED,男女,WHOLE DAY,全日,YAU TSIM MONG,油尖旺區,SECONDARY,中學,GOVERNMENT,官立,,無,23809621,23809621,23914949,23914949,http://www.qes.edu.hk,http://www.qes.edu.hk,510424000133,510424000133,820546,835693,22.32393307,114.17129324,2023-11-24T15:02:47,835693,820546
11,Government Secondary Schools,官立中學,NTHYK YUEN LONG DISTRICT SECONDARY SCH,123 KAU YUK ROAD YUEN LONG NT,新界鄉議局元朗區中學,元朗教育路123號,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,SECONDARY,中學,GOVERNMENT,官立,,無,24766226,24766226,24747376,24747376,http://www.nthykyldss.edu.hk,http://www.nthykyldss.edu.hk,510165000133,510165000133,833725,820395,22.44287282,114.02267568,2023-11-24T15:02:47,820395,833725
12,Government Secondary Schools,官立中學,KING'S COLLEGE,63A BONHAM ROAD HONG KONG,英皇書院,香港般咸道63號A,BOYS,男,WHOLE DAY,全日,CENTRAL AND WESTERN,中西區,SECONDARY,中學,GOVERNMENT,官立,,無,25470310,25470310,25406908,25406908,http://www.kings.edu.hk,http://www.kings.edu.hk,510408000133,510408000133,816152,832494,22.28424853,114.14025318,2023-11-24T15:02:47,832494,816152
13,Government Secondary Schools,官立中學,SHEUNG SHUI GOVERNMENT SECONDARY SCHOOL,21 PAK WO ROAD SHEUNG SHUI NT,上水官立中學,新界上水百和路21號,CO-ED,男女,WHOLE DAY,全日,NORTH,北區,SECONDARY,中學,GOVERNMENT,官立,,無,26680628,26680628,26685885,26685885,http://www.ssgss.edu.hk,http://www.ssgss.edu.hk,510645000133,510645000133,839676,831334,22.49667937,114.12892437,2023-11-24T15:02:47,831334,839676
14,Government Secondary Schools,官立中學,TUEN MUN GOVERNMENT SECONDARY SCHOOL,393 CASTLE PEAK ROAD CASTLE PEAK BAY TUEN MUN NEW TERRITORIES,屯門官立中學,屯門青山公路393號青山灣段,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,SECONDARY,中學,GOVERNMENT,官立,,無,24580459,24580459,26183160,26183160,http://www.tmgss.edu.hk,http://www.tmgss.edu.hk,510297000133,510297000133,827910,815943,22.39031377,113.97950098,2023-11-24T15:02:46,815943,827910
15,Government Secondary Schools,官立中學,TANG SHIU KIN VICTORIA GOVERNMENT SECONDARY SCHOOL,5 OI KWAN ROAD WANCHAI HONG KONG,鄧肇堅維多利亞官立中學,香港愛群道5號,CO-ED,男女,WHOLE DAY,全日,WAN CHAI,灣仔區,SECONDARY,中學,GOVERNMENT,官立,,無,25736962,25736962,25725344,25725344,http://www.tskvgss.edu.hk,http://www.tskvgss.edu.hk,510262000133,510262000133,815353,836454,22.27703716,114.17867911,2023-11-24T15:02:46,836454,815353
16,Government Secondary Schools,官立中學,HELEN LIANG MEMORIAL SECONDARY SCHOOL (SHATIN),2 HIN TIN STREET TAI WAI SHATIN NT,梁文燕紀念中學(沙田),沙田大圍顯田街2號,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,SECONDARY,中學,GOVERNMENT,官立,,無,26941414,26941414,26091245,26091245,http://www.hlmssst.edu.hk,http://www.hlmssst.edu.hk,510076000133,510076000133,824695,835954,22.36140096,114.17382578,2023-11-24T15:02:46,835954,824695
17,Government Secondary Schools,官立中學,KWUN TONG GOVERNMENT SECONDARY SCHOOL,9 SHUN CHI STREET SHUN LEE ESTATE KOWLOON,觀塘官立中學,順利邨順緻街九號,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,SECONDARY,中學,GOVERNMENT,官立,,無,23436220,23436220,23044671,23044671,http://www.ktgss.edu.hk,http://www.ktgss.edu.hk,510416000133,510416000133,821565,841439,22.33312754,114.22706883,2023-11-24T15:02:45,841439,821565
18,Government Secondary Schools,官立中學,BELILIOS PUBLIC SCHOOL,51 TIN HAU TEMPLE ROAD HONG KONG,庇理羅士女子中學,香港天后廟道五十一號,GIRLS,女,WHOLE DAY,全日,EASTERN,東區,SECONDARY,中學,GOVERNMENT,官立,,無,25718018,25718018,25785698,25785698,http://www.belilios.edu.hk,http://www.belilios.edu.hk,510378000133,510378000133,816263,837959,22.28525422,114.19328315,2023-11-24T15:02:45,837959,816263
19,Government Secondary Schools,官立中學,CHEUNG CHAU GOVERNMENT SECONDARY SCHOOL,5B SCHOOL ROAD CHEUNG CHAU NT,長洲官立中學,新界長洲學校路5B,CO-ED,男女,WHOLE DAY,全日,ISLANDS,離島區,SECONDARY,中學,GOVERNMENT,官立,,無,29810514,29810514,29816349,29816349,http://www.ccgss.edu.hk,http://www.ccgss.edu.hk,510025000133,510025000133,807545,821147,22.20645962,114.03022819,2023-11-24T15:02:45,821147,807545
20,Government Secondary Schools,官立中學,KWUN TONG KUNG LOK GOVERNMENT SECONDARY SCHOOL,90 KUNG LOK ROAD KWUN TONG KOWLOON,觀塘功樂官立中學,功樂道90號,BOYS,男,WHOLE DAY,全日,KWUN TONG,觀塘區,SECONDARY,中學,GOVERNMENT,官立,,無,23435071,23435071,23044668,23044668,http://www.ktklgss.edu.hk,http://www.ktklgss.edu.hk,510114000133,510114000133,819921,840943,22.31828268,114.2222494,2023-11-24T15:02:45,840943,819921
21,Government Secondary Schools,官立中學,HOTUNG SECONDARY SCHOOL,1 KA NING PATH CAUSEWAY BAY HONG KONG,何東中學,銅鑼灣嘉寧徑1號,GIRLS,女,WHOLE DAY,全日,WAN CHAI,灣仔區,SECONDARY,中學,GOVERNMENT,官立,,無,25775433,25775433,28824536,28824536,http://www.hotungss.edu.hk,http://www.hotungss.edu.hk,510386000133,510386000133,815462,837522,22.27802106,114.18904204,2023-11-24T15:02:44,837522,815462
22,Government Secondary Schools,官立中學,FANLING GOVERNMENT SECONDARY SCHOOL,27 YAT MING ROAD FANLING NEW TERRITORIES,粉嶺官立中學,新界粉嶺一鳴路27號,CO-ED,男女,WHOLE DAY,全日,NORTH,北區,SECONDARY,中學,GOVERNMENT,官立,,無,26776778,26776778,26776588,26776588,http://www.fgss.edu.hk,http://www.fgss.edu.hk,510041000133,510041000133,838531,832946,22.48634346,114.14459264,2023-11-24T15:02:44,832946,838531
23,Government Secondary Schools,官立中學,CLEMENTI SECONDARY SCHOOL,30 FORTRESS HILL ROAD NORTH POINT HONG KONG,金文泰中學,香港炮台山道三十號,CO-ED,男女,WHOLE DAY,全日,EASTERN,東區,SECONDARY,中學,GOVERNMENT,官立,,無,25706411,25706411,25785719,25785719,http://www.clementi.edu.hk,http://www.clementi.edu.hk,510033000133,510033000133,816493,838153,22.28733106,114.19516592,2023-11-24T15:02:44,838153,816493
24,Government Secondary Schools,官立中學,SHA TIN GOVERNMENT SECONDARY SCHOOL,11-17 MAN LAI ROAD SHATIN NT,沙田官立中學,沙田文禮路11-17號,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,SECONDARY,中學,GOVERNMENT,官立,,無,26914744,26914744,26091456,26091456,http://www.stgss.edu.hk,http://www.stgss.edu.hk,510610000133,510610000133,826369,837063,22.37651793,114.18459376,2023-11-24T15:02:44,837063,826369
25,Government Secondary Schools,官立中學,TIN SHUI WAI GOVERNMENT SECONDARY SCHOOL,PHASE II TIN YIU ESTATE TIN SHUI WAI NT,天水圍官立中學,天水圍天耀邨第二期,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,SECONDARY,中學,GOVERNMENT,官立,,無,24450967,24450967,24463766,24463766,http://www.tswgss.edu.hk,http://www.tswgss.edu.hk,510270000133,510270000133,834782,818531,22.45239965,114.00455607,2023-11-24T15:02:43,818531,834782
26,Government Secondary Schools,官立中學,NTHYK TAI PO DISTRICT SECONDARY SCHOOL,TAI YUEN ESTATE TAI PO NT,新界鄉議局大埔區中學,新界大埔大元邨,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,SECONDARY,中學,GOVERNMENT,官立,,無,26643032,26643032,26678085,26678085,https://nthyktpdss.icampus.hk/website,https://nthyktpdss.icampus.hk/website,510556000133,510556000133,835153,835299,22.45584163,114.16746013,2023-11-24T15:02:43,835299,835153
27,Government Secondary Schools,官立中學,CHIU LUT SAU MEMORIAL SECONDARY SCHOOL,7 TAI YUK ROAD YUEN LONG NT,趙聿修紀念中學,元朗體育路七號,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,SECONDARY,中學,GOVERNMENT,官立,,無,24778237,24778237,24747319,24747319,http://www.clsmss.edu.hk,http://www.clsmss.edu.hk,510491000133,510491000133,833652,820365,22.44221332,114.02238498,2023-11-24T15:02:43,820365,833652
28,Government Secondary Schools,官立中學,KOWLOON TECHNICAL SCHOOL,332-334 CHEUNG SHA WAN ROAD SHAMSHUIPO KOWLOON,九龍工業學校,九龍長沙灣道332-334號,CO-ED,男女,WHOLE DAY,全日,SHAM SHUI PO,深水埗區,SECONDARY,中學,GOVERNMENT,官立,,無,23860737,23860737,27089958,27089958,http://www.kts.edu.hk,http://www.kts.edu.hk,510521000133,510521000133,821610,834436,22.33354073,114.15909123,2023-11-24T15:02:43,834436,821610
29,Government Secondary Schools,官立中學,SHAU KEI WAN EAST GOVERNMENT SECONDARY SCHOOL,40 CHAI WAN ROAD SHAUKEIWAN HONG KONG,筲箕灣東官立中學,香港筲箕灣柴灣道四十號,CO-ED,男女,WHOLE DAY,全日,EASTERN,東區,SECONDARY,中學,GOVERNMENT,官立,,無,25602677/25600887,25602677/25600887,25689865,25689865,http://www.skwegss.edu.hk,http://www.skwegss.edu.hk,510220000133,510220000133,814851,841980,22.27249432,114.23229633,2023-11-24T15:02:42,841980,814851
30,Government Secondary Schools,官立中學,ARTS & TECHNOLOGY EDUCATION CENTRE,145 JUNCTION ROAD LOK FU KOWLOON,藝術與科技教育中心,九龍樂富聯合道145號,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,SECONDARY,中學,GOVERNMENT,官立,,無,23360902,23360902,23363842,23363842,http://www.atec.edu.hk,http://www.atec.edu.hk,511072000133,511072000133,821725,837318,22.33457989,114.18706673,2023-06-28T10:50:45,837318,821725
